day,date,time,type,source_bank,source_account,dest_bank,dest_account,amount,status,description,ref
1,2026-02-23,08:27,D,BANK_C,ACT-C-006,BANK_C,ACT-C-006,9190.14,00,Advisory fee rebate,
1,2026-02-23,12:30,T,BANK_C,ACT-C-002,BANK_C,ACT-C-003,13621.55,00,CD maturity rollover,
1,2026-02-23,13:48,D,BANK_C,ACT-C-001,BANK_C,ACT-C-001,16583.61,00,Quarterly dividend,
2,2026-02-24,09:54,D,BANK_C,ACT-C-006,BANK_C,ACT-C-006,11750.01,00,Portfolio income,
2,2026-02-24,13:21,D,BANK_C,ACT-C-002,BANK_C,ACT-C-002,22154.66,00,Advisory fee rebate,
2,2026-02-24,14:56,T,BANK_C,ACT-C-001,BANK_C,ACT-C-004,40826.46,00,Margin account funding,
2,2026-02-24,15:51,T,BANK_C,ACT-C-002,BANK_C,ACT-C-004,19702.36,00,CD maturity rollover,
3,2026-02-25,08:15,W,BANK_C,ACT-C-006,BANK_C,ACT-C-006,1266.53,00,Tax preparation,
3,2026-02-25,08:31,D,BANK_C,ACT-C-003,BANK_C,ACT-C-003,18736.42,00,Portfolio income,
3,2026-02-25,09:22,T,BANK_C,ACT-C-006,BANK_C,ACT-C-001,13163.25,00,Tax-loss harvest proceeds,
3,2026-02-25,13:08,T,BANK_C,ACT-C-004,BANK_C,ACT-C-003,40060.3,00,Portfolio rebalance,
4,2026-02-26,09:25,W,BANK_C,ACT-C-007,BANK_C,ACT-C-007,968.76,00,Advisory fee,
4,2026-02-26,09:45,D,BANK_C,ACT-C-001,BANK_C,ACT-C-001,17101.9,00,Portfolio income,
4,2026-02-26,11:59,W,BANK_C,ACT-C-002,BANK_C,ACT-C-002,1093.52,00,Account maintenance,
4,2026-02-26,14:31,T,BANK_C,ACT-C-002,BANK_C,ACT-C-004,10197.78,00,Margin account funding,
4,2026-02-26,15:48,T,BANK_C,ACT-C-005,BANK_C,ACT-C-006,1852.45,00,Portfolio rebalance,
4,2026-02-26,15:52,W,BANK_C,ACT-C-001,BANK_C,ACT-C-001,2069.8,00,Account maintenance,
5,2026-02-27,08:16,D,BANK_C,ACT-C-003,BANK_C,ACT-C-003,17519.86,00,Portfolio income,
6,2026-03-02,08:05,D,BANK_C,ACT-C-003,BANK_C,ACT-C-003,6265.34,00,Portfolio income,
6,2026-03-02,08:12,W,BANK_C,ACT-C-002,BANK_C,ACT-C-002,1211.15,00,Custodian fee,
6,2026-03-02,10:37,W,BANK_C,ACT-C-004,BANK_C,ACT-C-004,1659.12,00,Wire fee,
6,2026-03-02,14:24,T,BANK_C,ACT-C-002,BANK_C,ACT-C-003,6009.93,00,CD maturity rollover,
6,2026-03-02,14:38,D,BANK_C,ACT-C-003,BANK_C,ACT-C-003,16322.84,00,Portfolio income,
6,2026-03-02,15:21,D,BANK_C,ACT-C-006,BANK_C,ACT-C-006,10007.79,00,Advisory fee rebate,
6,2026-03-02,17:32,T,BANK_C,ACT-C-003,BANK_C,ACT-C-005,43736.63,00,CD maturity rollover,
6,2026-03-02,17:45,W,BANK_C,ACT-C-003,BANK_C,ACT-C-003,2335.63,00,Advisory fee,
7,2026-03-03,08:59,W,BANK_C,ACT-C-005,BANK_C,ACT-C-005,667.5,00,Custodian fee,
7,2026-03-03,09:28,D,BANK_C,ACT-C-003,BANK_C,ACT-C-003,8579.22,00,Quarterly dividend,
7,2026-03-03,11:28,T,BANK_C,ACT-C-004,BANK_C,ACT-C-005,21572.31,00,CD maturity rollover,
7,2026-03-03,13:17,T,BANK_C,ACT-C-007,BANK_C,ACT-C-006,42435.49,00,Margin account funding,
7,2026-03-03,13:34,D,BANK_C,ACT-C-004,BANK_C,ACT-C-004,7722.24,00,Quarterly dividend,
