day,date,time,type,source_bank,source_account,dest_bank,dest_account,amount,status,description,ref
1,2026-02-23,11:48,D,BANK_D,ACT-D-002,BANK_D,ACT-D-002,36700.58,00,Foundation grant,
1,2026-02-23,11:58,T,BANK_D,ACT-D-002,BANK_D,ACT-D-001,12907.92,00,Collateral posting,
1,2026-02-23,12:10,W,BANK_D,ACT-D-006,BANK_D,ACT-D-006,2704.23,00,Fiduciary fee,
1,2026-02-23,12:44,W,BANK_D,ACT-D-004,BANK_D,ACT-D-004,13731.76,00,Audit expense,
1,2026-02-23,13:44,D,BANK_D,ACT-D-004,BANK_D,ACT-D-004,23557.48,00,Foundation grant,
2,2026-02-24,09:50,T,BANK_D,ACT-D-004,BANK_D,ACT-D-002,39421.66,00,Institutional rebalance,
2,2026-02-24,09:58,D,BANK_D,ACT-D-001,BANK_D,ACT-D-001,29109.21,00,Trust fund distribution,
2,2026-02-24,10:43,T,BANK_D,ACT-D-001,BANK_D,ACT-D-005,38823.63,00,Collateral posting,
2,2026-02-24,11:02,W,BANK_D,ACT-D-006,BANK_D,ACT-D-006,6926.86,00,Fiduciary fee,
2,2026-02-24,11:24,D,BANK_D,ACT-D-003,BANK_D,ACT-D-003,21916.14,00,Endowment payout,
2,2026-02-24,12:20,W,BANK_D,ACT-D-005,BANK_D,ACT-D-005,4933.93,00,Custodial services,
2,2026-02-24,12:27,D,BANK_D,ACT-D-005,BANK_D,ACT-D-005,44700.94,00,Pension disbursement,
2,2026-02-24,14:12,D,BANK_D,ACT-D-006,BANK_D,ACT-D-006,29189.29,00,Foundation grant,
2,2026-02-24,14:58,D,BANK_D,ACT-D-005,BANK_D,ACT-D-005,27361.55,00,Endowment payout,
2,2026-02-24,15:24,D,BANK_D,ACT-D-005,BANK_D,ACT-D-005,40952.02,00,Trust fund distribution,
3,2026-02-25,10:14,T,BANK_D,ACT-D-001,BANK_D,ACT-D-002,16132.69,00,Liquidity management,
3,2026-02-25,12:03,D,BANK_D,ACT-D-003,BANK_D,ACT-D-003,20156.2,00,Foundation grant,
3,2026-02-25,14:06,W,BANK_D,ACT-D-005,BANK_D,ACT-D-005,11878.4,00,Regulatory assessment,
4,2026-02-26,08:27,T,BANK_D,ACT-D-003,BANK_D,ACT-D-001,20712.82,00,Institutional rebalance,
4,2026-02-26,09:33,D,BANK_D,ACT-D-006,BANK_D,ACT-D-006,35382.32,00,Trust fund distribution,
4,2026-02-26,10:22,D,BANK_D,ACT-D-005,BANK_D,ACT-D-005,32168.32,00,Foundation grant,
4,2026-02-26,12:01,D,BANK_D,ACT-D-001,BANK_D,ACT-D-001,16518.16,00,Foundation grant,
4,2026-02-26,12:39,T,BANK_D,ACT-D-003,BANK_D,ACT-D-006,30411.96,00,Institutional rebalance,
4,2026-02-26,15:04,D,BANK_D,ACT-D-002,BANK_D,ACT-D-002,15155.44,00,Endowment payout,
4,2026-02-26,16:00,W,BANK_D,ACT-D-006,BANK_D,ACT-D-006,12007.93,00,Fiduciary fee,
5,2026-02-27,12:02,T,BANK_D,ACT-D-006,BANK_D,ACT-D-004,23824.87,00,Duration matching,
5,2026-02-27,14:51,W,BANK_D,ACT-D-002,BANK_D,ACT-D-002,14873.03,00,Audit expense,
6,2026-03-02,10:53,T,BANK_D,ACT-D-002,BANK_D,ACT-D-005,28892.81,00,Liquidity management,
6,2026-03-02,17:30,W,BANK_D,ACT-D-001,BANK_D,ACT-D-001,8867.72,00,Fiduciary fee,
8,2026-03-04,09:32,T,BANK_D,ACT-D-004,BANK_D,ACT-D-005,36453.12,00,Duration matching,
8,2026-03-04,11:44,D,BANK_D,ACT-D-004,BANK_D,ACT-D-004,16338.51,00,Foundation grant,
8,2026-03-04,12:06,D,BANK_D,ACT-D-002,BANK_D,ACT-D-002,44164.95,00,Endowment payout,
8,2026-03-04,12:13,D,BANK_D,ACT-D-006,BANK_D,ACT-D-006,28061.8,00,Endowment payout,
8,2026-03-04,14:03,T,BANK_D,ACT-D-006,BANK_D,ACT-D-001,39174.9,00,Liquidity management,
8,2026-03-04,14:06,T,BANK_D,ACT-D-003,BANK_D,ACT-D-004,31863.98,00,Institutional rebalance,
9,2026-03-05,08:04,D,BANK_D,ACT-D-002,BANK_D,ACT-D-002,36815.06,00,Endowment payout,
9,2026-03-05,09:12,D,BANK_D,ACT-D-001,BANK_D,ACT-D-001,31444.16,00,Endowment payout,
9,2026-03-05,10:00,W,BANK_D,ACT-D-004,BANK_D,ACT-D-004,5533.83,00,Regulatory assessment,
9,2026-03-05,10:54,T,BANK_D,ACT-D-001,BANK_D,ACT-D-002,22103.19,00,Institutional rebalance,
9,2026-03-05,13:00,D,BANK_D,ACT-D-006,BANK_D,ACT-D-006,37184.77,00,Endowment payout,
9,2026-03-05,13:20,T,BANK_D,ACT-D-002,BANK_D,ACT-D-001,14611.1,00,Duration matching,
9,2026-03-05,15:42,D,BANK_D,ACT-D-006,BANK_D,ACT-D-006,24170.26,00,Endowment payout,
9,2026-03-05,17:02,W,BANK_D,ACT-D-004,BANK_D,ACT-D-004,13460.18,00,Fiduciary fee,
9,2026-03-05,17:43,T,BANK_D,ACT-D-005,BANK_D,ACT-D-001,25055.11,00,Liquidity management,
9,2026-03-05,17:50,D,BANK_D,ACT-D-001,BANK_D,ACT-D-001,30436.24,00,Pension disbursement,
9,2026-03-05,17:59,W,BANK_D,ACT-D-005,BANK_D,ACT-D-005,4096.2,00,Regulatory assessment,
10,2026-03-06,10:44,W,BANK_D,ACT-D-003,BANK_D,ACT-D-003,5396.94,00,Custodial services,
10,2026-03-06,11:04,T,BANK_D,ACT-D-006,BANK_D,ACT-D-001,32434.43,00,Collateral posting,
10,2026-03-06,17:47,D,BANK_D,ACT-D-002,BANK_D,ACT-D-002,41829.49,00,Pension disbursement,
11,2026-03-09,11:14,T,BANK_D,ACT-D-003,BANK_D,ACT-D-006,25628.07,00,Collateral posting,
11,2026-03-09,11:27,D,BANK_D,ACT-D-001,BANK_D,ACT-D-001,43103.81,00,Foundation grant,
11,2026-03-09,11:47,D,BANK_D,ACT-D-002,BANK_D,ACT-D-002,37127.8,00,Foundation grant,
11,2026-03-09,13:22,W,BANK_D,ACT-D-005,BANK_D,ACT-D-005,11939.0,00,Custodial services,
12,2026-03-10,11:16,W,BANK_D,ACT-D-001,BANK_D,ACT-D-001,9125.98,00,Compliance cost,
12,2026-03-10,11:46,D,BANK_D,ACT-D-005,BANK_D,ACT-D-005,17687.84,00,Foundation grant,
12,2026-03-10,15:59,D,BANK_D,ACT-D-004,BANK_D,ACT-D-004,30256.21,00,Trust fund distribution,
13,2026-03-11,14:07,D,BANK_D,ACT-D-005,BANK_D,ACT-D-005,41738.28,00,Foundation grant,
13,2026-03-11,17:05,D,BANK_D,ACT-D-002,BANK_D,ACT-D-002,27743.16,00,Trust fund distribution,
13,2026-03-11,17:30,T,BANK_D,ACT-D-005,BANK_D,ACT-D-003,11003.86,00,Institutional rebalance,
14,2026-03-12,08:11,D,BANK_D,ACT-D-003,BANK_D,ACT-D-003,43852.88,00,Trust fund distribution,
14,2026-03-12,08:54,W,BANK_D,ACT-D-001,BANK_D,ACT-D-001,10304.15,00,Compliance cost,
14,2026-03-12,10:59,D,BANK_D,ACT-D-001,BANK_D,ACT-D-001,20382.39,00,Trust fund distribution,
14,2026-03-12,12:44,W,BANK_D,ACT-D-002,BANK_D,ACT-D-002,11884.41,00,Audit expense,
14,2026-03-12,13:11,T,BANK_D,ACT-D-006,BANK_D,ACT-D-005,10732.4,00,Collateral posting,
14,2026-03-12,14:39,T,BANK_D,ACT-D-003,BANK_D,ACT-D-001,13280.95,00,Duration matching,
14,2026-03-12,15:02,T,BANK_D,ACT-D-005,BANK_D,ACT-D-002,24217.15,00,Collateral posting,
14,2026-03-12,16:16,D,BANK_D,ACT-D-003,BANK_D,ACT-D-003,15365.72,00,Pension disbursement,
14,2026-03-12,16:27,T,BANK_D,ACT-D-001,BANK_D,ACT-D-003,31835.6,00,Collateral posting,
14,2026-03-12,17:00,W,BANK_D,ACT-D-003,BANK_D,ACT-D-003,7388.68,00,Custodial services,
15,2026-03-13,10:08,T,BANK_D,ACT-D-003,BANK_D,ACT-D-006,27809.5,00,Collateral posting,
15,2026-03-13,10:38,D,BANK_D,ACT-D-006,BANK_D,ACT-D-006,26672.41,00,Trust fund distribution,
15,2026-03-13,11:34,D,BANK_D,ACT-D-003,BANK_D,ACT-D-003,27357.89,00,Trust fund distribution,
15,2026-03-13,16:15,W,BANK_D,ACT-D-002,BANK_D,ACT-D-002,14523.1,00,Audit expense,
15,2026-03-13,16:55,T,BANK_D,ACT-D-003,BANK_D,ACT-D-004,12707.51,00,Liquidity management,
16,2026-03-16,11:23,D,BANK_D,ACT-D-002,BANK_D,ACT-D-002,40287.29,00,Trust fund distribution,
16,2026-03-16,14:32,W,BANK_D,ACT-D-004,BANK_D,ACT-D-004,13674.85,00,Custodial services,
16,2026-03-16,14:47,T,BANK_D,ACT-D-002,BANK_D,ACT-D-005,11844.05,00,Institutional rebalance,
16,2026-03-16,17:31,D,BANK_D,ACT-D-005,BANK_D,ACT-D-005,25459.47,00,Trust fund distribution,
17,2026-03-17,08:25,W,BANK_D,ACT-D-006,BANK_D,ACT-D-006,8505.62,00,Audit expense,
17,2026-03-17,08:46,T,BANK_D,ACT-D-005,BANK_D,ACT-D-003,29591.77,00,Liquidity management,
17,2026-03-17,08:46,D,BANK_D,ACT-D-003,BANK_D,ACT-D-003,40184.63,00,Foundation grant,
17,2026-03-17,08:59,W,BANK_D,ACT-D-002,BANK_D,ACT-D-002,11425.96,00,Compliance cost,
17,2026-03-17,10:03,T,BANK_D,ACT-D-001,BANK_D,ACT-D-004,24785.14,00,Liquidity management,
17,2026-03-17,10:06,D,BANK_D,ACT-D-003,BANK_D,ACT-D-003,32073.07,00,Foundation grant,
17,2026-03-17,13:16,W,BANK_D,ACT-D-004,BANK_D,ACT-D-004,9796.91,00,Compliance cost,
17,2026-03-17,15:34,T,BANK_D,ACT-D-002,BANK_D,ACT-D-001,32892.47,00,Liquidity management,
17,2026-03-17,16:34,T,BANK_D,ACT-D-006,BANK_D,ACT-D-005,21227.98,00,Collateral posting,
17,2026-03-17,17:04,T,BANK_D,ACT-D-005,BANK_D,ACT-D-002,38064.97,00,Duration matching,
18,2026-03-18,12:58,T,BANK_D,ACT-D-002,BANK_D,ACT-D-004,35872.77,00,Collateral posting,
18,2026-03-18,14:38,W,BANK_D,ACT-D-006,BANK_D,ACT-D-006,5748.42,00,Regulatory assessment,
18,2026-03-18,17:31,D,BANK_D,ACT-D-003,BANK_D,ACT-D-003,40116.5,00,Foundation grant,
19,2026-03-19,08:09,D,BANK_D,ACT-D-002,BANK_D,ACT-D-002,17983.24,00,Trust fund distribution,
