day,date,time,type,source_bank,source_account,dest_bank,dest_account,amount,status,description,ref
1,2026-02-24,10:43,T,BANK_E,ACT-E-002,BANK_E,ACT-E-007,754.69,00,Share account transfer,
1,2026-02-24,17:34,T,BANK_E,ACT-E-001,BANK_E,ACT-E-002,159.1,00,Holiday club deposit,
2,2026-02-25,11:47,T,BANK_E,ACT-E-003,BANK_E,ACT-E-002,363.76,00,Emergency fund,
2,2026-02-25,11:48,T,BANK_E,ACT-E-005,BANK_E,ACT-E-001,1257.31,00,Youth savings deposit,
2,2026-02-25,13:39,D,BANK_E,ACT-E-005,BANK_E,ACT-E-005,2207.67,00,Stipend payment,
2,2026-02-25,13:40,T,BANK_E,ACT-E-003,BANK_E,ACT-E-004,848.72,00,Emergency fund,
2,2026-02-25,15:20,D,BANK_E,ACT-E-005,BANK_E,ACT-E-005,3483.19,00,Cooperative dividend,
3,2026-02-26,10:58,T,BANK_E,ACT-E-006,BANK_E,ACT-E-001,625.75,00,Share account transfer,
3,2026-02-26,16:07,W,BANK_E,ACT-E-006,BANK_E,ACT-E-006,87.9,00,Rent payment,
4,2026-02-27,09:23,T,BANK_E,ACT-E-003,BANK_E,ACT-E-007,693.67,00,Emergency fund,
4,2026-02-27,09:41,W,BANK_E,ACT-E-008,BANK_E,ACT-E-008,23.18,00,Co-op fee,
4,2026-02-27,10:45,D,BANK_E,ACT-E-005,BANK_E,ACT-E-005,2613.19,00,Grant disbursement,
4,2026-02-27,11:24,D,BANK_E,ACT-E-004,BANK_E,ACT-E-004,2964.01,00,Stipend payment,
4,2026-02-27,14:23,D,BANK_E,ACT-E-007,BANK_E,ACT-E-007,3082.27,00,Donation deposit,
4,2026-02-27,14:45,D,BANK_E,ACT-E-004,BANK_E,ACT-E-004,1320.73,00,Stipend payment,
4,2026-02-27,16:31,T,BANK_E,ACT-E-004,BANK_E,ACT-E-006,828.16,00,Holiday club deposit,
4,2026-02-27,16:34,W,BANK_E,ACT-E-004,BANK_E,ACT-E-004,183.48,00,Rent payment,
5,2026-03-02,09:02,W,BANK_E,ACT-E-001,BANK_E,ACT-E-001,160.19,00,Local vendor PMT,
5,2026-03-02,09:34,W,BANK_E,ACT-E-006,BANK_E,ACT-E-006,77.82,00,Rent payment,
5,2026-03-02,10:27,W,BANK_E,ACT-E-001,BANK_E,ACT-E-001,232.18,00,Utility PMT,
5,2026-03-02,12:05,T,BANK_E,ACT-E-004,BANK_E,ACT-E-005,505.57,00,Emergency fund,
5,2026-03-02,14:19,D,BANK_E,ACT-E-008,BANK_E,ACT-E-008,2501.0,00,Stipend payment,
